,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,22018,202339,0021801202,"APR 07, 2019",MIL vs. ATL,W,24,4,10,0.4,0,5,0.0,0,0,0.0,1,4,5,5,2,0,1,2,8,23,1
1,22018,202339,0021801193,"APR 06, 2019",MIL vs. BKN,L,33,12,17,0.706,5,6,0.833,4,7,0.571,2,2,4,11,2,1,4,2,33,-9,1
2,22018,202339,0021801177,"APR 04, 2019",MIL @ PHI,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,8,1
3,22018,202339,0021801154,"APR 01, 2019",MIL @ BKN,W,34,10,19,0.526,3,9,0.333,6,6,1.0,0,5,5,7,5,2,4,4,29,21,1
4,22018,202339,0021801127,"MAR 28, 2019",MIL vs. LAC,W,31,5,11,0.455,3,5,0.6,2,2,1.0,1,6,7,8,1,0,3,2,15,-4,1
5,22018,202339,0021801111,"MAR 26, 2019",MIL vs. HOU,W,29,9,19,0.474,4,7,0.571,1,2,0.5,2,1,3,7,1,2,3,1,23,6,1
6,22018,202339,0021801096,"MAR 24, 2019",MIL vs. CLE,W,28,3,7,0.429,2,5,0.4,4,4,1.0,0,5,5,7,2,1,0,1,12,6,1
7,22018,202339,0021801085,"MAR 22, 2019",MIL vs. MIA,W,28,3,10,0.3,1,3,0.333,2,2,1.0,0,1,1,1,0,0,2,1,9,-2,1
8,22018,202339,0021801065,"MAR 20, 2019",MIL @ CLE,L,35,7,19,0.368,2,5,0.4,8,9,0.889,2,6,8,8,2,0,3,1,24,4,1
9,22018,202339,0021801061,"MAR 19, 2019",MIL vs. LAL,W,32,4,12,0.333,1,6,0.167,5,10,0.5,1,7,8,7,4,0,4,0,14,10,1
10,22018,202339,0021801043,"MAR 17, 2019",MIL vs. PHI,L,33,5,14,0.357,1,4,0.25,1,3,0.333,3,2,5,6,2,0,2,3,12,-17,2
11,22018,202339,0021801029,"MAR 15, 2019",MIL @ MIA,W,34,6,12,0.5,1,3,0.333,4,6,0.667,1,2,3,5,3,0,4,3,17,24,2
12,22018,202339,0021801010,"MAR 12, 2019",MIL @ NOP,W,29,6,15,0.4,1,3,0.333,1,2,0.5,1,5,6,5,2,0,2,4,14,21,1
13,22018,202339,0021800999,"MAR 10, 2019",MIL @ SAS,L,31,9,13,0.692,2,4,0.5,1,3,0.333,0,2,2,6,0,0,1,1,21,3,1
14,22018,202339,0021800990,"MAR 09, 2019",MIL vs. CHA,W,27,3,10,0.3,3,5,0.6,2,4,0.5,2,1,3,5,2,0,0,0,11,22,1
15,22018,202339,0021800975,"MAR 07, 2019",MIL vs. IND,W,26,6,10,0.6,0,1,0.0,0,0,0.0,1,4,5,4,1,0,1,3,12,7,1
16,22018,202339,0021800955,"MAR 04, 2019",MIL @ PHX,L,29,5,15,0.333,0,6,0.0,5,6,0.833,0,5,5,5,1,0,3,4,15,-8,1
17,22018,202339,0021800934,"MAR 01, 2019",MIL @ LAL,W,31,12,24,0.5,2,11,0.182,5,5,1.0,2,7,9,5,0,1,1,0,31,14,1
18,22018,202339,0021800920,"FEB 27, 2019",MIL @ SAC,W,36,11,20,0.55,4,7,0.571,0,0,0.0,4,8,12,13,1,0,4,0,26,1,1
19,22018,202339,0021800902,"FEB 25, 2019",MIL @ CHI,W,26,3,5,0.6,1,3,0.333,1,2,0.5,2,3,5,4,0,0,2,1,8,4,1
20,22018,202339,0021800891,"FEB 23, 2019",MIL vs. MIN,W,30,6,11,0.545,1,4,0.25,3,3,1.0,1,4,5,7,2,0,3,3,16,17,1
21,22018,202339,0021800870,"FEB 21, 2019",MIL vs. BOS,W,32,2,9,0.222,0,4,0.0,1,2,0.5,1,2,3,1,0,0,2,0,5,-15,1
22,22018,202339,0021800854,"FEB 13, 2019",MIL @ IND,W,21,1,4,0.25,0,2,0.0,2,4,0.5,0,2,2,1,0,0,2,1,4,-7,1
23,22018,202339,0021800843,"FEB 11, 2019",MIL @ CHI,W,30,5,8,0.625,3,6,0.5,6,6,1.0,0,1,1,2,2,0,4,2,19,-2,1
24,22018,202339,0021800833,"FEB 09, 2019",MIL vs. ORL,L,29,7,13,0.538,2,4,0.5,3,6,0.5,2,9,11,5,0,0,1,4,19,-14,1
25,22018,202339,0021800821,"FEB 08, 2019",MIL @ DAL,W,27,7,12,0.583,4,7,0.571,0,0,0.0,0,3,3,5,0,1,2,2,18,22,1
26,22018,202339,0021800806,"FEB 06, 2019",MIL vs. WAS,W,27,8,16,0.5,4,5,0.8,2,2,1.0,3,3,6,11,2,0,1,3,22,10,1
27,22018,202339,0021800792,"FEB 04, 2019",MIL @ BKN,W,27,6,16,0.375,1,7,0.143,2,2,1.0,0,3,3,5,5,1,0,3,15,13,1
28,22018,202339,0021800766,"JAN 31, 2019",MIL @ TOR,W,31,6,12,0.5,2,6,0.333,0,0,0.0,2,6,8,6,4,0,4,1,14,24,1
29,22018,202339,0021800750,"JAN 29, 2019",MIL @ DET,W,30,8,15,0.533,3,5,0.6,1,1,1.0,1,4,5,7,2,0,0,1,20,18,1
30,22018,202339,0021800738,"JAN 27, 2019",MIL @ OKC,L,31,5,14,0.357,1,4,0.25,0,0,0.0,1,5,6,3,1,0,4,1,11,-1,1
31,22018,202339,0021800727,"JAN 25, 2019",MIL vs. CHA,W,31,7,16,0.438,0,7,0.0,4,5,0.8,0,4,4,3,1,1,2,1,18,12,1
32,22018,202339,0021800694,"JAN 21, 2019",MIL vs. DAL,W,33,8,16,0.5,1,7,0.143,4,4,1.0,1,3,4,5,2,0,2,3,21,19,1
33,22018,202339,0021800682,"JAN 19, 2019",MIL @ ORL,W,31,12,14,0.857,2,3,0.667,4,5,0.8,0,7,7,2,0,0,0,1,30,24,1
34,22018,202339,0021800660,"JAN 16, 2019",MIL @ MEM,W,25,5,13,0.385,2,7,0.286,4,4,1.0,0,2,2,4,3,0,1,2,16,23,1
35,22018,202339,0021800654,"JAN 15, 2019",MIL vs. MIA,W,22,7,15,0.467,2,8,0.25,1,2,0.5,1,4,5,4,2,1,0,0,17,8,1
36,22018,202339,0021800640,"JAN 13, 2019",MIL @ ATL,W,26,9,13,0.692,2,6,0.333,4,4,1.0,0,2,2,10,2,1,0,2,24,8,1
37,22018,202339,0021800622,"JAN 11, 2019",MIL @ WAS,L,28,7,21,0.333,2,9,0.222,2,4,0.5,3,5,8,9,3,0,1,0,18,5,1
38,22018,202339,0021800610,"JAN 09, 2019",MIL @ HOU,W,28,5,11,0.455,0,3,0.0,0,0,0.0,1,3,4,5,2,1,4,5,10,6,1
39,22018,202339,0021800594,"JAN 07, 2019",MIL vs. UTA,W,28,3,11,0.273,0,4,0.0,0,0,0.0,1,3,4,6,3,0,6,0,6,5,1
40,22018,202339,0021800580,"JAN 05, 2019",MIL vs. TOR,L,32,4,9,0.444,2,6,0.333,4,5,0.8,0,3,3,8,2,0,3,2,14,-15,1
41,22018,202339,0021800572,"JAN 04, 2019",MIL vs. ATL,W,22,7,13,0.538,0,2,0.0,0,0,0.0,2,6,8,2,1,1,2,4,14,26,1
42,22018,202339,0021800550,"JAN 01, 2019",MIL vs. DET,W,30,7,14,0.5,0,2,0.0,4,4,1.0,0,4,4,6,1,0,0,1,18,18,1
43,22018,202339,0021800527,"DEC 29, 2018",MIL vs. BKN,W,24,2,7,0.286,0,4,0.0,2,2,1.0,0,3,3,4,1,0,4,4,6,-3,1
44,22018,202339,0021800513,"DEC 27, 2018",MIL vs. NYK,W,31,3,7,0.429,2,5,0.4,0,0,0.0,1,4,5,2,1,0,0,2,8,11,1
45,22018,202339,0021800497,"DEC 25, 2018",MIL @ NYK,W,29,4,8,0.5,0,1,0.0,3,4,0.75,0,6,6,5,1,0,2,0,11,9,1
46,22018,202339,0021800482,"DEC 22, 2018",MIL @ MIA,L,34,4,12,0.333,0,4,0.0,9,11,0.818,2,1,3,6,1,0,3,2,17,-2,1
47,22018,202339,0021800473,"DEC 21, 2018",MIL @ BOS,W,30,7,9,0.778,1,2,0.5,1,1,1.0,0,4,4,2,1,0,5,4,16,-8,1
48,22018,202339,0021800462,"DEC 19, 2018",MIL vs. NOP,W,24,4,10,0.4,1,5,0.2,0,0,0.0,0,6,6,4,0,0,1,3,9,13,1
49,22018,202339,0021800443,"DEC 17, 2018",MIL @ DET,W,35,7,16,0.438,1,2,0.5,2,5,0.4,0,3,3,9,2,0,1,2,17,8,1
50,22018,202339,0021800423,"DEC 14, 2018",MIL @ CLE,W,31,6,19,0.316,1,8,0.125,3,3,1.0,2,3,5,6,0,1,3,2,16,8,1
51,22018,202339,0021800407,"DEC 12, 2018",MIL @ IND,L,33,11,16,0.688,2,5,0.4,2,3,0.667,0,1,1,6,2,1,2,2,26,-8,1
52,22018,202339,0021800395,"DEC 10, 2018",MIL vs. CLE,W,28,8,15,0.533,4,5,0.8,0,0,0.0,3,9,12,5,0,0,1,2,20,19,1
53,22018,202339,0021800388,"DEC 09, 2018",MIL @ TOR,W,33,4,14,0.286,0,4,0.0,1,1,1.0,2,0,2,5,0,0,1,0,9,-4,1
54,22018,202339,0021800377,"DEC 07, 2018",MIL vs. GSW,L,29,6,12,0.5,2,5,0.4,0,0,0.0,1,0,1,4,4,0,5,4,14,-6,1
55,22018,202339,0021800361,"DEC 05, 2018",MIL vs. DET,W,26,10,17,0.588,2,6,0.333,5,5,1.0,0,3,3,4,3,0,1,2,27,14,1
56,22018,202339,0021800330,"DEC 01, 2018",MIL @ NYK,L,37,11,18,0.611,3,6,0.5,2,2,1.0,3,2,5,7,2,0,2,2,27,-1,1
57,22018,202339,0021800310,"NOV 28, 2018",MIL vs. CHI,W,29,2,3,0.667,0,0,0.0,3,4,0.75,2,4,6,4,1,1,2,2,7,-6,1
58,22018,202339,0021800294,"NOV 26, 2018",MIL @ CHA,L,36,6,13,0.462,4,9,0.444,1,1,1.0,0,1,1,4,2,0,4,3,17,-7,1
59,22018,202339,0021800284,"NOV 24, 2018",MIL vs. SAS,W,35,8,15,0.533,1,7,0.143,3,4,0.75,1,3,4,10,2,0,2,2,20,20,1
60,22018,202339,0021800275,"NOV 23, 2018",MIL vs. PHX,L,30,4,9,0.444,2,6,0.333,2,4,0.5,0,3,3,7,1,1,4,3,12,-3,1
61,22018,202339,0021800259,"NOV 21, 2018",MIL vs. POR,W,24,7,13,0.538,2,6,0.333,0,0,0.0,0,6,6,5,0,0,0,2,16,16,1
62,22018,202339,0021800245,"NOV 19, 2018",MIL vs. DEN,W,35,8,10,0.8,3,4,0.75,4,9,0.444,2,3,5,5,3,0,4,1,23,7,1
63,22018,202339,0021800223,"NOV 16, 2018",MIL vs. CHI,W,30,10,13,0.769,3,5,0.6,2,3,0.667,1,3,4,6,3,1,3,0,25,19,1
64,22018,202339,0021800207,"NOV 14, 2018",MIL vs. MEM,L,30,6,11,0.545,1,3,0.333,2,4,0.5,1,5,6,7,2,0,1,5,15,16,1
65,22018,202339,0021800187,"NOV 11, 2018",MIL @ DEN,W,30,4,10,0.4,1,3,0.333,3,3,1.0,0,8,8,3,3,1,1,2,12,14,1
66,22018,202339,0021800175,"NOV 10, 2018",MIL @ LAC,L,34,6,16,0.375,2,7,0.286,1,2,0.5,2,3,5,5,2,1,3,2,15,0,1
67,22018,202339,0021800166,"NOV 08, 2018",MIL @ GSW,W,26,10,12,0.833,2,3,0.667,4,6,0.667,2,2,4,6,1,0,3,2,26,30,1
68,22018,202339,0021800152,"NOV 06, 2018",MIL @ POR,L,30,2,12,0.167,1,7,0.143,0,0,0.0,2,0,2,7,0,0,1,2,5,-14,1
69,22018,202339,0021800133,"NOV 04, 2018",MIL vs. SAC,W,22,6,11,0.545,1,5,0.2,4,4,1.0,0,6,6,1,0,1,2,2,17,11,1
70,22018,202339,0021800115,"NOV 01, 2018",MIL @ BOS,L,33,3,9,0.333,1,2,0.5,6,9,0.667,0,1,1,7,1,0,2,4,13,-12,1
71,22018,202339,0021800092,"OCT 29, 2018",MIL vs. TOR,W,26,7,12,0.583,2,5,0.4,1,1,1.0,0,2,2,8,0,1,3,2,17,-1,1
72,22018,202339,0021800081,"OCT 27, 2018",MIL vs. ORL,W,23,2,7,0.286,0,2,0.0,2,2,1.0,1,3,4,4,1,1,2,3,6,9,1
73,22018,202339,0021800071,"OCT 26, 2018",MIL @ MIN,W,21,3,6,0.5,0,1,0.0,0,1,0.0,0,6,6,9,0,0,4,3,6,21,1
74,22018,202339,0021800059,"OCT 24, 2018",MIL vs. PHI,W,33,6,18,0.333,2,7,0.286,4,4,1.0,2,5,7,4,1,1,1,3,18,12,1
75,22018,202339,0021800042,"OCT 22, 2018",MIL vs. NYK,W,32,6,11,0.545,2,7,0.286,2,2,1.0,2,2,4,13,2,1,2,1,16,19,1
76,22018,202339,0021800023,"OCT 19, 2018",MIL vs. IND,W,26,5,9,0.556,2,5,0.4,0,0,0.0,3,3,6,7,2,2,0,2,12,17,1
77,22018,202339,0021800003,"OCT 17, 2018",MIL @ CHA,W,34,7,13,0.538,3,5,0.6,0,0,0.0,2,2,4,3,0,1,2,4,17,4,1
