,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,22018,203114,0021801226,"APR 10, 2019",MIL vs. OKC,L,17,9,14,0.643,3,7,0.429,0,0,0.0,0,1,1,5,1,0,1,2,21,9,1
1,22018,203114,0021801202,"APR 07, 2019",MIL vs. ATL,W,25,8,19,0.421,2,8,0.25,3,3,1.0,0,5,5,3,0,1,0,3,21,22,1
2,22018,203114,0021801193,"APR 06, 2019",MIL vs. BKN,L,30,9,18,0.5,2,7,0.286,4,4,1.0,0,4,4,3,1,0,4,0,24,-14,1
3,22018,203114,0021801177,"APR 04, 2019",MIL @ PHI,W,25,7,18,0.389,3,6,0.5,5,7,0.714,1,2,3,4,2,0,5,1,22,10,1
4,22018,203114,0021801127,"MAR 28, 2019",MIL vs. LAC,W,33,16,25,0.64,4,7,0.571,3,3,1.0,2,7,9,5,1,0,2,3,39,2,1
5,22018,203114,0021801111,"MAR 26, 2019",MIL vs. HOU,W,34,6,23,0.261,1,8,0.125,0,0,0.0,1,4,5,0,2,0,1,0,13,7,1
6,22018,203114,0021801096,"MAR 24, 2019",MIL vs. CLE,W,33,7,15,0.467,1,6,0.167,2,4,0.5,0,5,5,3,2,0,3,1,17,11,1
7,22018,203114,0021801085,"MAR 22, 2019",MIL vs. MIA,W,28,8,13,0.615,2,5,0.4,0,0,0.0,2,6,8,10,1,0,1,2,18,10,1
8,22018,203114,0021801065,"MAR 20, 2019",MIL @ CLE,L,37,10,21,0.476,4,6,0.667,2,2,1.0,3,9,12,1,1,1,2,2,26,7,1
9,22018,203114,0021801061,"MAR 19, 2019",MIL vs. LAL,W,36,12,20,0.6,4,7,0.571,2,2,1.0,2,8,10,5,1,0,6,4,30,24,1
10,22018,203114,0021801043,"MAR 17, 2019",MIL vs. PHI,L,36,8,18,0.444,3,9,0.333,0,0,0.0,1,6,7,6,0,0,1,4,19,-5,2
11,22018,203114,0021801029,"MAR 15, 2019",MIL @ MIA,W,32,8,16,0.5,2,5,0.4,3,5,0.6,0,5,5,8,1,0,1,4,21,-2,2
12,22018,203114,0021801010,"MAR 12, 2019",MIL @ NOP,W,30,9,18,0.5,2,6,0.333,3,3,1.0,0,5,5,7,0,0,2,1,23,20,1
13,22018,203114,0021800999,"MAR 10, 2019",MIL @ SAS,L,31,6,15,0.4,1,4,0.25,2,2,1.0,1,7,8,4,1,0,3,3,15,9,1
14,22018,203114,0021800990,"MAR 09, 2019",MIL vs. CHA,W,28,4,12,0.333,1,7,0.143,0,0,0.0,1,5,6,3,0,0,1,0,9,19,1
15,22018,203114,0021800975,"MAR 07, 2019",MIL vs. IND,W,32,8,15,0.533,4,7,0.571,7,9,0.778,1,1,2,4,3,0,3,2,27,12,1
16,22018,203114,0021800955,"MAR 04, 2019",MIL @ PHX,L,31,1,13,0.077,1,7,0.143,3,4,0.75,2,5,7,4,1,0,1,3,6,-18,1
17,22018,203114,0021800943,"MAR 02, 2019",MIL @ UTA,L,36,8,24,0.333,4,8,0.5,9,9,1.0,3,6,9,6,1,0,5,2,29,3,1
18,22018,203114,0021800934,"MAR 01, 2019",MIL @ LAL,W,32,4,8,0.5,2,4,0.5,8,9,0.889,1,4,5,6,0,0,0,4,18,-3,1
19,22018,203114,0021800920,"FEB 27, 2019",MIL @ SAC,W,37,8,20,0.4,1,6,0.167,4,7,0.571,0,6,6,7,2,0,4,4,21,6,1
20,22018,203114,0021800902,"FEB 25, 2019",MIL @ CHI,W,27,6,16,0.375,3,5,0.6,7,10,0.7,0,4,4,3,0,0,2,4,22,1,1
21,22018,203114,0021800891,"FEB 23, 2019",MIL vs. MIN,W,33,10,18,0.556,4,10,0.4,4,4,1.0,1,6,7,3,0,0,1,1,28,15,1
22,22018,203114,0021800870,"FEB 21, 2019",MIL vs. BOS,W,31,5,14,0.357,3,6,0.5,2,2,1.0,0,13,13,4,1,0,5,1,15,-9,1
23,22018,203114,0021800854,"FEB 13, 2019",MIL @ IND,W,34,5,16,0.313,2,5,0.4,3,5,0.6,1,5,6,5,0,0,1,2,15,11,1
24,22018,203114,0021800843,"FEB 11, 2019",MIL @ CHI,W,33,6,13,0.462,1,4,0.25,3,3,1.0,0,4,4,4,3,0,2,1,16,3,1
25,22018,203114,0021800833,"FEB 09, 2019",MIL vs. ORL,L,32,4,17,0.235,0,4,0.0,3,3,1.0,2,10,12,4,1,0,1,2,11,-16,1
26,22018,203114,0021800806,"FEB 06, 2019",MIL vs. WAS,W,27,6,10,0.6,3,5,0.6,1,1,1.0,0,2,2,4,1,0,3,1,16,-2,1
27,22018,203114,0021800792,"FEB 04, 2019",MIL @ BKN,W,25,4,12,0.333,0,2,0.0,4,4,1.0,1,7,8,4,0,1,2,1,12,10,1
28,22018,203114,0021800778,"FEB 02, 2019",MIL @ WAS,W,30,8,14,0.571,4,7,0.571,0,0,0.0,1,6,7,6,0,0,3,1,20,28,1
29,22018,203114,0021800766,"JAN 31, 2019",MIL @ TOR,W,35,7,9,0.778,1,1,1.0,3,4,0.75,2,4,6,4,2,0,3,2,18,17,1
30,22018,203114,0021800750,"JAN 29, 2019",MIL @ DET,W,34,6,13,0.462,1,3,0.333,2,2,1.0,0,6,6,6,0,0,6,0,15,16,1
31,22018,203114,0021800738,"JAN 27, 2019",MIL @ OKC,L,34,8,15,0.533,3,7,0.429,3,4,0.75,0,4,4,6,1,0,2,2,22,8,1
32,22018,203114,0021800727,"JAN 25, 2019",MIL vs. CHA,W,33,6,12,0.5,2,5,0.4,1,1,1.0,0,5,5,4,1,0,1,1,15,17,1
33,22018,203114,0021800694,"JAN 21, 2019",MIL vs. DAL,W,33,6,18,0.333,1,7,0.143,0,0,0.0,2,6,8,3,0,1,3,1,13,11,1
34,22018,203114,0021800682,"JAN 19, 2019",MIL @ ORL,W,28,6,15,0.4,1,3,0.333,2,2,1.0,0,3,3,3,0,0,1,0,15,2,1
35,22018,203114,0021800660,"JAN 16, 2019",MIL @ MEM,W,27,4,8,0.5,0,1,0.0,3,3,1.0,0,6,6,5,1,0,2,2,11,28,1
36,22018,203114,0021800654,"JAN 15, 2019",MIL vs. MIA,W,26,4,11,0.364,2,3,0.667,1,2,0.5,1,7,8,4,0,0,1,0,11,19,1
37,22018,203114,0021800640,"JAN 13, 2019",MIL @ ATL,W,28,8,19,0.421,0,2,0.0,1,2,0.5,1,10,11,4,0,0,4,4,17,11,1
38,22018,203114,0021800622,"JAN 11, 2019",MIL @ WAS,L,37,8,17,0.471,3,9,0.333,6,7,0.857,0,8,8,3,1,0,3,2,25,2,1
39,22018,203114,0021800610,"JAN 09, 2019",MIL @ HOU,W,35,5,14,0.357,2,5,0.4,3,4,0.75,0,3,3,4,3,0,0,3,15,-3,1
40,22018,203114,0021800594,"JAN 07, 2019",MIL vs. UTA,W,33,5,15,0.333,2,5,0.4,2,3,0.667,0,7,7,5,1,0,1,2,14,13,1
41,22018,203114,0021800580,"JAN 05, 2019",MIL vs. TOR,L,32,6,13,0.462,2,6,0.333,0,1,0.0,0,2,2,9,1,0,1,6,14,-18,1
42,22018,203114,0021800572,"JAN 04, 2019",MIL vs. ATL,W,22,7,8,0.875,4,4,1.0,1,2,0.5,0,1,1,4,3,0,1,1,19,29,1
43,22018,203114,0021800550,"JAN 01, 2019",MIL vs. DET,W,28,9,14,0.643,1,4,0.25,3,4,0.75,3,2,5,2,0,0,4,2,22,20,1
44,22018,203114,0021800527,"DEC 29, 2018",MIL vs. BKN,W,35,11,15,0.733,4,6,0.667,3,3,1.0,0,4,4,7,1,0,0,2,29,20,1
45,22018,203114,0021800513,"DEC 27, 2018",MIL vs. NYK,W,33,10,17,0.588,1,3,0.333,4,4,1.0,1,5,6,5,0,0,2,1,25,1,1
46,22018,203114,0021800497,"DEC 25, 2018",MIL @ NYK,W,29,2,12,0.167,1,7,0.143,1,1,1.0,0,6,6,3,1,0,1,3,6,3,1
47,22018,203114,0021800482,"DEC 22, 2018",MIL @ MIA,L,35,7,18,0.389,2,11,0.182,2,2,1.0,0,7,7,4,2,0,4,1,18,4,1
48,22018,203114,0021800473,"DEC 21, 2018",MIL @ BOS,W,34,8,20,0.4,4,9,0.444,1,2,0.5,3,6,9,5,1,0,2,4,21,-3,1
49,22018,203114,0021800462,"DEC 19, 2018",MIL vs. NOP,W,33,5,13,0.385,0,5,0.0,4,4,1.0,0,5,5,5,2,0,3,1,14,-7,1
50,22018,203114,0021800443,"DEC 17, 2018",MIL @ DET,W,37,7,16,0.438,3,6,0.5,5,6,0.833,0,2,2,6,1,0,1,3,22,15,1
51,22018,203114,0021800407,"DEC 12, 2018",MIL @ IND,L,34,4,18,0.222,0,7,0.0,2,2,1.0,0,8,8,3,1,0,2,3,10,-4,1
52,22018,203114,0021800395,"DEC 10, 2018",MIL vs. CLE,W,28,5,16,0.313,2,5,0.4,4,4,1.0,0,7,7,3,0,0,3,2,16,20,1
53,22018,203114,0021800388,"DEC 09, 2018",MIL @ TOR,W,34,3,9,0.333,2,5,0.4,2,3,0.667,0,9,9,5,1,0,5,3,10,-4,1
54,22018,203114,0021800377,"DEC 07, 2018",MIL vs. GSW,L,27,4,14,0.286,1,7,0.143,1,4,0.25,1,7,8,0,1,0,2,4,10,5,1
55,22018,203114,0021800330,"DEC 01, 2018",MIL @ NYK,L,19,3,11,0.273,3,6,0.5,1,2,0.5,0,4,4,2,1,0,1,1,10,-9,1
56,22018,203114,0021800310,"NOV 28, 2018",MIL vs. CHI,W,31,6,13,0.462,3,6,0.5,2,3,0.667,0,6,6,4,0,0,0,3,17,-7,1
57,22018,203114,0021800294,"NOV 26, 2018",MIL @ CHA,L,39,4,18,0.222,3,12,0.25,3,3,1.0,0,9,9,2,2,0,5,2,14,-2,1
58,22018,203114,0021800284,"NOV 24, 2018",MIL vs. SAS,W,35,8,14,0.571,4,9,0.444,1,2,0.5,0,4,4,2,1,0,3,1,21,11,1
59,22018,203114,0021800275,"NOV 23, 2018",MIL vs. PHX,L,30,4,9,0.444,2,4,0.5,5,5,1.0,0,6,6,4,1,0,4,4,15,-7,1
60,22018,203114,0021800259,"NOV 21, 2018",MIL vs. POR,W,24,7,12,0.583,2,5,0.4,5,5,1.0,0,7,7,4,2,0,1,3,21,26,1
61,22018,203114,0021800245,"NOV 19, 2018",MIL vs. DEN,W,37,4,15,0.267,1,8,0.125,4,4,1.0,1,5,6,5,2,0,0,2,13,6,1
62,22018,203114,0021800223,"NOV 16, 2018",MIL vs. CHI,W,33,9,15,0.6,2,6,0.333,3,3,1.0,0,10,10,8,2,0,2,3,23,18,1
63,22018,203114,0021800207,"NOV 14, 2018",MIL vs. MEM,L,32,8,16,0.5,2,7,0.286,7,7,1.0,1,4,5,3,0,0,2,1,25,-19,1
64,22018,203114,0021800187,"NOV 11, 2018",MIL @ DEN,W,34,8,12,0.667,3,5,0.6,2,2,1.0,1,4,5,2,0,0,3,3,21,11,1
65,22018,203114,0021800175,"NOV 10, 2018",MIL @ LAC,L,29,6,13,0.462,2,4,0.5,0,0,0.0,0,3,3,5,1,0,5,6,14,-1,1
66,22018,203114,0021800166,"NOV 08, 2018",MIL @ GSW,W,29,6,16,0.375,2,9,0.222,3,4,0.75,1,2,3,6,3,1,2,3,17,33,1
67,22018,203114,0021800152,"NOV 06, 2018",MIL @ POR,L,36,8,19,0.421,4,10,0.4,2,2,1.0,2,6,8,6,0,0,1,4,22,-10,1
68,22018,203114,0021800133,"NOV 04, 2018",MIL vs. SAC,W,22,3,12,0.25,3,8,0.375,3,3,1.0,0,3,3,3,1,0,1,0,12,11,1
