,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,22018,203954,0021801194,"APR 06, 2019",PHI @ CHI,W,28,9,16,0.563,0,3,0.0,2,6,0.333,1,9,10,5,0,3,2,2,20,12,1
1,22018,203954,0021801177,"APR 04, 2019",PHI vs. MIL,L,37,12,31,0.387,3,9,0.333,7,10,0.7,3,10,13,13,2,3,3,3,34,0,1
2,22018,203954,0021801123,"MAR 28, 2019",PHI vs. BKN,W,28,12,20,0.6,3,4,0.75,12,16,0.75,3,10,13,6,3,1,2,3,39,14,1
3,22018,203954,0021801103,"MAR 25, 2019",PHI @ ORL,L,31,8,15,0.533,1,3,0.333,3,6,0.5,2,8,10,2,1,0,5,4,20,-12,1
4,22018,203954,0021801088,"MAR 23, 2019",PHI @ ATL,L,35,7,11,0.636,2,3,0.667,11,14,0.786,1,11,12,2,0,0,4,0,27,3,1
5,22018,203954,0021801067,"MAR 20, 2019",PHI vs. BOS,W,41,8,17,0.471,1,3,0.333,20,21,0.952,6,16,22,4,1,1,3,4,37,12,1
6,22018,203954,0021801043,"MAR 17, 2019",PHI @ MIL,W,36,15,31,0.484,4,13,0.308,6,7,0.857,2,13,15,6,3,1,1,4,40,-6,2
7,22018,203954,0021801027,"MAR 15, 2019",PHI vs. SAC,W,36,9,19,0.474,0,3,0.0,3,4,0.75,2,15,17,3,1,4,4,2,21,-2,1
8,22018,203954,0021801008,"MAR 12, 2019",PHI vs. CLE,W,34,6,16,0.375,1,3,0.333,4,4,1.0,3,16,19,5,1,4,6,2,17,9,1
9,22018,203954,0021800994,"MAR 10, 2019",PHI vs. IND,W,28,11,21,0.524,0,2,0.0,11,15,0.733,3,9,12,0,2,0,2,5,33,16,1
10,22018,203954,0021800856,"FEB 13, 2019",PHI @ NYK,W,34,7,13,0.538,0,0,0.0,12,14,0.857,2,12,14,3,0,1,4,5,26,9,1
11,22018,203954,0021800849,"FEB 12, 2019",PHI vs. BOS,L,37,9,22,0.409,2,8,0.25,3,4,0.75,3,11,14,3,0,2,2,5,23,3,1
12,22018,203954,0021800835,"FEB 10, 2019",PHI vs. LAL,W,32,12,16,0.75,2,3,0.667,11,12,0.917,0,14,14,3,1,0,3,2,37,23,1
13,22018,203954,0021800818,"FEB 08, 2019",PHI vs. DEN,W,33,4,17,0.235,0,5,0.0,7,8,0.875,2,10,12,1,1,4,4,3,15,13,1
14,22018,203954,0021800800,"FEB 05, 2019",PHI vs. TOR,L,42,10,20,0.5,3,7,0.429,14,15,0.933,2,11,13,2,1,3,4,4,37,-9,1
15,22018,203954,0021800785,"FEB 02, 2019",PHI @ SAC,L,39,9,24,0.375,0,5,0.0,11,13,0.846,7,10,17,2,1,4,4,3,29,-3,1
16,22018,203954,0021800768,"JAN 31, 2019",PHI @ GSW,W,34,8,24,0.333,0,5,0.0,10,12,0.833,6,14,20,5,2,0,8,4,26,-1,1
17,22018,203954,0021800755,"JAN 29, 2019",PHI @ LAL,W,30,7,16,0.438,2,6,0.333,12,15,0.8,1,10,11,6,0,1,6,3,28,22,1
18,22018,203954,0021800711,"JAN 23, 2019",PHI vs. SAS,W,37,13,28,0.464,2,4,0.5,5,6,0.833,7,12,19,3,0,1,3,3,33,12,1
19,22018,203954,0021800699,"JAN 21, 2019",PHI vs. HOU,W,27,9,16,0.563,0,1,0.0,14,17,0.824,3,11,14,2,2,3,2,3,32,21,1
20,22018,203954,0021800678,"JAN 19, 2019",PHI vs. OKC,L,34,11,19,0.579,1,5,0.2,8,12,0.667,2,6,8,6,0,1,3,3,31,17,1
21,22018,203954,0021800667,"JAN 17, 2019",PHI @ IND,W,35,9,19,0.474,2,7,0.286,2,2,1.0,3,10,13,8,1,3,5,3,22,18,1
22,22018,203954,0021800652,"JAN 15, 2019",PHI vs. MIN,W,27,10,17,0.588,4,6,0.667,7,8,0.875,1,12,13,3,0,1,4,4,31,20,1
23,22018,203954,0021800638,"JAN 13, 2019",PHI @ NYK,W,32,9,24,0.375,0,2,0.0,8,12,0.667,2,6,8,1,0,6,2,4,26,-3,1
24,22018,203954,0021800608,"JAN 09, 2019",PHI @ WAS,L,34,11,17,0.647,1,4,0.25,12,14,0.857,4,10,14,2,1,3,7,3,35,-25,1
25,22018,203954,0021800600,"JAN 08, 2019",PHI vs. WAS,W,24,8,13,0.615,2,4,0.5,2,3,0.667,0,10,10,4,0,1,3,1,20,12,1
26,22018,203954,0021800578,"JAN 05, 2019",PHI vs. DAL,W,35,7,17,0.412,1,3,0.333,10,11,0.909,0,12,12,5,1,1,2,4,25,7,1
