,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,22018,1626167,0021801199,"APR 07, 2019",IND vs. BKN,L,18,2,5,0.4,2,3,0.667,0,0,0.0,0,4,4,0,1,3,0,0,6,-6,1
1,22018,1626167,0021801183,"APR 05, 2019",IND vs. BOS,L,28,5,8,0.625,2,2,1.0,3,4,0.75,1,6,7,1,0,1,0,2,15,-6,1
2,22018,1626167,0021801165,"APR 03, 2019",IND @ DET,W,25,6,9,0.667,0,1,0.0,5,7,0.714,2,3,5,1,0,1,0,4,17,11,1
3,22018,1626167,0021801152,"APR 01, 2019",IND vs. DET,W,34,5,7,0.714,2,3,0.667,5,6,0.833,0,6,6,0,3,5,0,2,17,-4,1
4,22018,1626167,0021801140,"MAR 30, 2019",IND vs. ORL,L,33,6,13,0.462,1,6,0.167,3,3,1.0,1,11,12,2,1,1,1,5,16,1,1
5,22018,1626167,0021801130,"MAR 29, 2019",IND @ BOS,L,34,5,12,0.417,3,6,0.5,2,2,1.0,3,8,11,2,0,1,1,1,15,-4,1
6,22018,1626167,0021801119,"MAR 27, 2019",IND @ OKC,L,31,5,9,0.556,1,1,1.0,1,2,0.5,3,11,14,1,0,4,2,2,12,-4,1
7,22018,1626167,0021801097,"MAR 24, 2019",IND vs. DEN,W,31,7,15,0.467,0,1,0.0,3,3,1.0,4,7,11,2,1,2,1,1,17,23,1
8,22018,1626167,0021801079,"MAR 21, 2019",IND @ GSW,L,24,2,10,0.2,0,3,0.0,0,0,0.0,1,5,6,0,0,0,1,3,4,-18,1
9,22018,1626167,0021801064,"MAR 19, 2019",IND @ LAC,L,26,5,9,0.556,1,3,0.333,0,0,0.0,1,4,5,2,1,5,1,1,11,-16,1
10,22018,1626167,0021801058,"MAR 18, 2019",IND @ POR,L,31,9,17,0.529,2,6,0.333,8,10,0.8,5,5,10,1,2,0,2,4,28,-5,1
11,22018,1626167,0021801040,"MAR 16, 2019",IND @ DEN,L,36,3,9,0.333,0,4,0.0,9,11,0.818,0,5,5,2,2,1,1,3,15,-3,1
12,22018,1626167,0021801020,"MAR 14, 2019",IND vs. OKC,W,31,4,10,0.4,0,2,0.0,2,2,1.0,1,5,6,2,0,1,2,2,10,4,1
13,22018,1626167,0021801007,"MAR 12, 2019",IND vs. NYK,W,37,5,15,0.333,2,6,0.333,3,8,0.375,1,8,9,4,2,2,2,2,15,10,1
14,22018,1626167,0021800994,"MAR 10, 2019",IND @ PHI,L,19,2,7,0.286,1,2,0.5,1,2,0.5,2,3,5,1,0,3,1,5,6,-1,1
15,22018,1626167,0021800975,"MAR 07, 2019",IND @ MIL,L,35,8,19,0.421,4,11,0.364,2,2,1.0,3,14,17,3,1,3,2,1,22,-11,1
