,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,22018,1626164,0021801174,"APR 03, 2019",PHX vs. UTA,L,8,3,4,0.75,0,1,0.0,2,2,1.0,0,0,0,1,0,0,0,1,8,9,1
1,22018,1626164,0021801160,"APR 01, 2019",PHX vs. CLE,W,35,8,18,0.444,2,9,0.222,7,7,1.0,0,3,3,13,0,0,6,3,25,-6,1
2,22018,1626164,0021801144,"MAR 30, 2019",PHX vs. MEM,L,43,19,29,0.655,3,6,0.5,7,8,0.875,1,2,3,11,0,0,6,3,48,1,1
3,22018,1626164,0021801120,"MAR 27, 2019",PHX vs. WAS,L,37,19,29,0.655,3,9,0.333,9,10,0.9,2,8,10,4,1,1,5,3,50,8,1
4,22018,1626164,0021801105,"MAR 25, 2019",PHX @ UTA,L,41,19,34,0.559,5,8,0.625,16,17,0.941,1,3,4,4,1,0,6,5,59,-13,1
5,22018,1626164,0021801094,"MAR 23, 2019",PHX @ SAC,L,39,10,27,0.37,2,11,0.182,10,10,1.0,0,2,2,10,2,0,3,0,32,-5,1
6,22018,1626164,0021801077,"MAR 21, 2019",PHX vs. DET,L,32,8,17,0.471,2,5,0.4,8,10,0.8,0,5,5,2,3,0,5,3,26,-15,1
7,22018,1626164,0021801057,"MAR 18, 2019",PHX vs. CHI,L,40,9,24,0.375,1,8,0.125,6,10,0.6,1,7,8,7,0,0,3,4,25,-15,1
8,22018,1626164,0021801036,"MAR 16, 2019",PHX @ NOP,W,41,12,26,0.462,3,8,0.375,13,18,0.722,1,4,5,13,0,1,7,3,40,3,1
9,22018,1626164,0021801030,"MAR 15, 2019",PHX @ HOU,L,37,9,22,0.409,1,7,0.143,10,11,0.909,1,4,5,7,0,0,5,1,29,-1,2
10,22018,1626164,0021801019,"MAR 13, 2019",PHX vs. UTA,L,36,9,20,0.45,2,4,0.5,7,9,0.778,0,4,4,6,0,1,4,2,27,-8,1
11,22018,1626164,0021801000,"MAR 10, 2019",PHX @ GSW,W,41,13,23,0.565,2,6,0.333,9,9,1.0,1,7,8,11,2,0,5,3,37,12,1
12,22018,1626164,0021800991,"MAR 09, 2019",PHX @ POR,L,31,7,19,0.368,1,4,0.25,8,8,1.0,0,2,2,5,2,0,4,3,23,-6,1
13,22018,1626164,0021800972,"MAR 06, 2019",PHX vs. NYK,W,34,14,23,0.609,6,10,0.6,7,7,1.0,1,4,5,4,2,1,5,4,41,17,1
14,22018,1626164,0021800955,"MAR 04, 2019",PHX vs. MIL,W,39,8,18,0.444,2,4,0.5,4,4,1.0,1,4,5,7,1,0,4,3,22,15,1
15,22018,1626164,0021800942,"MAR 02, 2019",PHX vs. LAL,W,40,8,18,0.444,0,5,0.0,9,9,1.0,0,4,4,4,1,0,4,2,25,13,1
16,22018,1626164,0021800932,"MAR 01, 2019",PHX vs. NOP,L,34,6,17,0.353,1,5,0.2,13,14,0.929,2,4,6,7,1,0,6,2,26,-12,1
17,22018,1626164,0021800901,"FEB 25, 2019",PHX @ MIA,W,33,6,16,0.375,3,9,0.333,5,5,1.0,1,3,4,9,0,0,4,5,20,3,1
18,22018,1626164,0021800883,"FEB 23, 2019",PHX @ ATL,L,36,8,23,0.348,2,6,0.333,8,8,1.0,0,7,7,8,0,1,2,3,26,-14,1
19,22018,1626164,0021800867,"FEB 21, 2019",PHX @ CLE,L,38,10,20,0.5,3,9,0.333,7,9,0.778,0,1,1,7,1,0,9,4,30,-12,1
20,22018,1626164,0021800863,"FEB 13, 2019",PHX @ LAC,L,33,2,10,0.2,0,3,0.0,6,6,1.0,1,5,6,5,1,1,3,3,10,-15,1
