,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,22018,202331,0021801218,"APR 09, 2019",OKC vs. HOU,W,42,9,25,0.36,4,14,0.286,5,6,0.833,1,8,9,3,4,0,2,4,27,9,1
1,22018,202331,0021801197,"APR 07, 2019",OKC @ MIN,W,38,8,22,0.364,4,13,0.308,7,7,1.0,1,6,7,6,3,0,0,5,27,11,1
2,22018,202331,0021801186,"APR 05, 2019",OKC vs. DET,W,36,11,24,0.458,4,7,0.571,4,4,1.0,2,6,8,4,2,0,4,1,30,5,1
3,22018,202331,0021801161,"APR 02, 2019",OKC vs. LAL,W,38,8,17,0.471,3,8,0.375,0,0,0.0,1,5,6,5,5,1,2,1,19,14,1
4,22018,202331,0021801146,"MAR 31, 2019",OKC vs. DAL,L,39,8,20,0.4,5,12,0.417,6,7,0.857,4,7,11,2,2,1,3,1,27,13,1
5,22018,202331,0021801133,"MAR 29, 2019",OKC vs. DEN,L,40,10,22,0.455,2,7,0.286,3,5,0.6,1,8,9,4,0,0,4,1,25,-7,1
6,22018,202331,0021801119,"MAR 27, 2019",OKC vs. IND,W,39,12,25,0.48,4,13,0.308,3,3,1.0,0,4,4,1,1,0,2,2,31,17,1
7,22018,202331,0021801104,"MAR 25, 2019",OKC @ MEM,L,39,10,29,0.345,5,15,0.333,5,6,0.833,2,10,12,3,1,0,2,3,30,-3,1
8,22018,202331,0021801083,"MAR 22, 2019",OKC @ TOR,W,41,9,17,0.529,5,10,0.5,5,5,1.0,2,4,6,5,2,1,2,3,28,-1,1
9,22018,202331,0021801072,"MAR 20, 2019",OKC vs. TOR,L,35,6,14,0.429,3,10,0.3,4,7,0.571,0,5,5,6,1,0,3,6,19,-5,1
10,22018,202331,0021801054,"MAR 18, 2019",OKC vs. MIA,L,39,9,18,0.5,4,11,0.364,9,9,1.0,1,8,9,5,2,2,5,1,31,0,1
11,22018,202331,0021801038,"MAR 16, 2019",OKC vs. GSW,L,38,9,25,0.36,4,12,0.333,7,11,0.636,2,11,13,2,1,0,2,2,29,-17,1
12,22018,202331,0021801020,"MAR 14, 2019",OKC @ IND,L,36,10,23,0.435,6,11,0.545,10,12,0.833,0,6,6,5,2,0,5,3,36,-5,1
13,22018,202331,0021801017,"MAR 13, 2019",OKC vs. BKN,W,37,9,18,0.5,3,6,0.5,4,4,1.0,2,7,9,3,2,2,2,2,25,11,1
14,22018,202331,0021801005,"MAR 11, 2019",OKC @ UTA,W,35,2,8,0.25,0,3,0.0,10,12,0.833,0,11,11,4,3,1,5,4,14,6,1
15,22018,202331,0021800985,"MAR 08, 2019",OKC @ LAC,L,28,5,16,0.313,3,9,0.333,2,4,0.5,1,5,6,1,0,0,5,6,15,-17,1
16,22018,202331,0021800976,"MAR 07, 2019",OKC @ POR,W,43,7,23,0.304,1,9,0.111,17,20,0.85,2,12,14,6,3,0,3,2,32,19,1
17,22018,202331,0021800963,"MAR 05, 2019",OKC @ MIN,L,38,8,25,0.32,4,14,0.286,5,7,0.714,1,4,5,2,1,0,1,2,25,-10,1
18,22018,202331,0021800910,"FEB 26, 2019",OKC @ DEN,L,40,7,24,0.292,3,14,0.214,8,8,1.0,1,7,8,7,6,0,3,3,25,-4,1
19,22018,202331,0021800890,"FEB 23, 2019",OKC vs. SAC,L,38,4,19,0.211,2,9,0.222,4,4,1.0,1,12,13,5,0,0,3,1,14,-2,1
20,22018,202331,0021800881,"FEB 22, 2019",OKC vs. UTA,W,50,17,31,0.548,5,13,0.385,6,6,1.0,1,8,9,7,1,0,0,3,45,-4,1
21,22018,202331,0021800866,"FEB 14, 2019",OKC @ NOP,L,41,11,29,0.379,3,17,0.176,3,3,1.0,0,7,7,6,1,1,3,3,28,-10,1
22,22018,202331,0021800846,"FEB 11, 2019",OKC vs. POR,W,43,15,26,0.577,8,13,0.615,9,11,0.818,1,11,12,10,2,0,2,4,47,14,1
23,22018,202331,0021800832,"FEB 09, 2019",OKC @ HOU,W,41,12,22,0.545,6,14,0.429,15,18,0.833,2,9,11,3,1,0,2,5,45,16,1
